objectid,filename,title,format,creator,subject,publisher,date,rights,rights_statement,charactersreferenced,dedicationinscription,dedicationindividual
Object_028,Potter_The Tale of the Flopsy Bunnies_002.jpg,The Tale of the Flopsy Bunnies,image/jpg,"Potter, Beatrix",Image; Mr. McGregors; Flopsy Bunnies; Rabbit,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Mr. McGregors,NA,NA
Object_029,Potter_The Tale of the Flopsy Bunnies_003.jpg,The Tale of the Flopsy Bunnies,image/jpg,"Potter, Beatrix",Title of Books; Flopsy Bunnies; Rabbit,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,NI,NA,NA
Object_030,Potter_The Tale of the Flopsy Bunnies_004.jpg,The Tale of the Flopsy Bunnies,image/jpg,"Potter, Beatrix","Inscriptions; Petter Rabbit; Benjamin Bunny; Mr. McGregor, Flopsy Bunnies; Rabbit",Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Petter Rabbit; Benjamin Bunny; Mr. McGregor,For all little friends of Mr. McGregor & Peter & Benjamin,"""little friends""; Mr. McGregor; Peter; Benjamin"
Object_031,Potter_The Tale of Timmy Tiptoes_001.jpg,The Tale of Timmy Tiptoes,image/jpg,"Potter, Beatrix",Book Cover; Timmy Tiptoes; Squirrel,Frederick Warne - Penguine Books Ltd.,1989,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Timmy Tiptoes ,NA,NA
Object_032,Potter_The Tale of Timmy Tiptoes_002.jpg,The Tale of Timmy Tiptoes,image/jpg,"Potter, Beatrix",Image; Timmy Tiptoes; Goody; Squirrel,Frederick Warne - Penguine Books Ltd.,1989,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Timmy Tiptoes; Goody ,NA,NA
Object_033,Potter_The Tale of Timmy Tiptoes_003.jpg,The Tale of Timmy Tiptoes,image/jpg,"Potter, Beatrix",Title of Books; Timmy Tiptoes; Chipmunk; Squirrel,Frederick Warne - Penguine Books Ltd.,1989,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Chipmunk,NA,NA
Object_034,Potter_The Tale of Timmy Tiptoes_004.jpg,The Tale of Timmy Tiptoes,image/jpg,"Potter, Beatrix",Inscriptions; Timmy Tiptoes; Squirrel,Frederick Warne - Penguine Books Ltd.,1989,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,NA,"For many little unknown friends, including Monica","""little unknown friends""; Monica"
Object_035,Potter_The Tale of Tom Kitten_001.jpg,The Tale of Tom Kitten,image/jpg,"Potter, Beatrix",Book Cover; Tom Kitten; Cat,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Tom Kitten ,NA,NA
Object_036,Potter_The Tale of Tom Kitten_002.jpg,The Tale of Tom Kitten,image/jpg,"Potter, Beatrix",Image; Mrs. Tabitha Twitchit; Moppet; Mittens; Tom Kitten; Cat,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Mrs. Tabitha Twitchit; Moppet; Mittens; Tom Kitten,NA,NA
Object_037,Potter_The Tale of Tom Kitten_003.jpg,The Tale of Tom Kitten,image/jpg,"Potter, Beatrix",Title of Books; Tom Kitten; Cat,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Puddle-duck,NA,NA
Object_038,Potter_The Tale of Tom Kitten_004.jpg,The Tale of Tom Kitten,image/jpg,"Potter, Beatrix",Inscriptions; Tom Kitten; Cat,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,NA,Dedicated to all Pickles; especially those that get upon my garden wall ,"""all Pickles"""
Object_039,Potter_The Tale of Two Bad Mice_001.jpg,The Tale of Two Bad Mice,image/jpg,"Potter, Beatrix",Book Cover; Hunca Munca; Mouse,Frederick Warne - Penguine Books Ltd.,1988,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Hunca Munca,NA,NA
Object_040,Potter_The Tale of Two Bad Mice_002.jpg,The Tale of Two Bad Mice,image/jpg,"Potter, Beatrix",Image; Hunca Munca; Mouse,Frederick Warne - Penguine Books Ltd.,1988,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Tom Thumb; Hunca Munca,NA,NA
Object_041,Potter_The Tale of Two Bad Mice_003.jpg,The Tale of Two Bad Mice,image/jpg,"Potter, Beatrix",Title of Books; Two Bad Mice; Mouse,Frederick Warne - Penguine Books Ltd.,1988,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,NI,NA,NA
Object_042,Potter_The Tale of Two Bad Mice_004.jpg,The Tale of Two Bad Mice,image/jpg,"Potter, Beatrix",Inscriptions; Two Bad Mice; Mouse,Frederick Warne - Penguine Books Ltd.,1988,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,NA,For W.M.L.W the little girl who had the doll house ,W.M.L.W
