Object ID,File Name,Title,Format,Creator,Subject,Publisher,Date,Rights,Rights Statement ,Characters Referenced ,Dedication Inscription,Dedication Individual
Object_023,Potter_The Tale of Squirrel Nutkin_001.jpg,The Tale of Squirrel Nutkin,jpeg,"Potter, Beatrix",Book Cover; Books-Children's; Books-Miniature; Squirrel Nutkin,Frederick Warne - Penguine Books Ltd.,1988,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Squirrel Nutkin,NA,NA
Object_024,Potter_The Tale of Squirrel Nutkin_002.jpg,The Tale of Squirrel Nutkin,jpeg,"Potter, Beatrix",Image; Books-Children's; Books-Miniature,Frederick Warne - Penguine Books Ltd.,1988,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,NI,NA,NA
Object_025,Potter_The Tale of Squirrel Nutkin_003.jpg,The Tale of Squirrel Nutkin,jpeg,"Potter, Beatrix",Title of Books; Books-Children's; Books-Miniature,Frederick Warne - Penguine Books Ltd.,1988,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,NI,NA,NA
Object_026,Potter_The Tale of Squirrel Nutkin_004.jpg,The Tale of Squirrel Nutkin,jpeg,"Potter, Beatrix",Inscriptions; Books-Children's; Books-Miniature,Frederick Warne - Penguine Books Ltd.,1988,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,NA,A story for Nora,Nora
Object_027,Potter_The Tale of the Flopsy Bunnies_001.jpg,The Tale of the Flopsy Bunnies,jpeg,"Potter, Beatrix",Book Cover; Books-Children's; Books-Miniature; Little Benjamin Bunny; Cousin Flopsy,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Little Benjamin Bunny; Cousin Flopsy,NA,NA
Object_028,Potter_The Tale of the Flopsy Bunnies_002.jpg,The Tale of the Flopsy Bunnies,jpeg,"Potter, Beatrix",Image; Books-Children's; Books-Miniature; Mr. McGregors,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Mr. McGregors,NA,NA
Object_029,Potter_The Tale of the Flopsy Bunnies_003.jpg,The Tale of the Flopsy Bunnies,jpeg,"Potter, Beatrix",Title of Books; Books-Children's; Books-Miniature,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,NI,NA,NA
Object_030,Potter_The Tale of the Flopsy Bunnies_004.jpg,The Tale of the Flopsy Bunnies,jpeg,"Potter, Beatrix",Inscriptions; Books-Children's; Books-Miniature; Petter Rabbit; Benjamin Bunny; Mr. McGregor,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Petter Rabbit; Benjamin Bunny; Mr. McGregor,For all little friends of Mr. McGregor & Peter & Benjamin,"""little friends""; Mr. McGregor; Peter; Benjamin"
Object_031,Potter_The Tale of Timmy Tiptoes_001.jpg,The Tale of Timmy Tiptoes,jpeg,"Potter, Beatrix",Book Cover; Books-Children's; Books-Miniature; Timmy Tiptoes ,Frederick Warne - Penguine Books Ltd.,1989,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Timmy Tiptoes ,NA,NA
Object_032,Potter_The Tale of Timmy Tiptoes_002.jpg,The Tale of Timmy Tiptoes,jpeg,"Potter, Beatrix",Image; Books-Children's; Books-Miniature; Timmy Tiptoes; Goody,Frederick Warne - Penguine Books Ltd.,1989,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Timmy Tiptoes; Goody ,NA,NA
